Strategy,Future.ID,Technology,Year,TotalCapacityAnnual
BAU,1,PPWNDON,2051,0.47622
BAU,1,PPWNDON,2052,0.481361
BAU,1,PPWNDON,2053,0.486501
BAU,1,PPWNDON,2054,0.491641
BAU,1,PPWNDON,2055,0.466641
BAU,2,PPPVT,2021,0.0573256
BAU,2,PPPVT,2022,0.0573256
BAU,2,PPPVT,2023,0.0573256
BAU,2,PPPVT,2024,0.0594499
BAU,2,PPPVT,2025,0.149739
BAU,2,PPPVT,2026,0.239739
BAU,2,PPPVT,2027,0.329739
BAU,2,PPPVT,2028,0.419739
BAU,2,PPPVT,2029,0.509739
BAU,2,PPPVT,2030,0.599739
BAU,2,PPPVT,2031,0.689739
BAU,2,PPPVT,2032,0.779739
BAU,2,PPPVT,2033,0.813739
BAU,2,PPPVT,2034,0.813739
BAU,2,PPPVT,2035,0.815642
BAU,2,PPPVT,2036,0.900132
BAU,2,PPPVT,2037,0.990649
BAU,2,PPPVT,2038,1.06105
BAU,2,PPPVT,2039,1.15158
BAU,2,PPPVT,2040,1.1747
BAU,2,PPPVT,2041,1.20789
BAU,2,PPPVT,2042,1.20789
BAU,2,PPPVT,2043,1.20789
BAU,2,PPPVT,2044,1.20789
BAU,2,PPPVT,2045,1.20789
BAU,2,PPPVT,2046,1.23014
BAU,2,PPPVT,2047,1.2546
BAU,2,PPPVT,2048,1.27935
BAU,2,PPPVT,2049,1.30442
BAU,2,PPPVT,2050,1.32587
BAU,2,PPPVT,2051,1.33491
BAU,2,PPPVT,2052,1.34316
BAU,2,PPPVT,2053,1.35142
BAU,2,PPPVT,2054,1.35986
BAU,2,PPPVT,2055,1.39857
BAU,2,PPWNDON,2021,0.102457
BAU,2,PPWNDON,2022,0.102457
BAU,2,PPWNDON,2023,0.102457
BAU,2,PPWNDON,2024,0.102457
BAU,2,PPWNDON,2025,0.162457
BAU,2,PPWNDON,2026,0.222457
BAU,2,PPWNDON,2027,0.282457
BAU,2,PPWNDON,2028,0.303457
BAU,2,PPWNDON,2029,0.303457
BAU,2,PPWNDON,2030,0.303457
BAU,2,PPWNDON,2031,0.303457
BAU,2,PPWNDON,2032,0.360457
BAU,2,PPWNDON,2033,0.360457
BAU,2,PPWNDON,2034,0.360457
BAU,2,PPWNDON,2035,0.385457
BAU,2,PPWNDON,2036,0.385457
BAU,2,PPWNDON,2037,0.385457
BAU,2,PPWNDON,2038,0.385457
BAU,2,PPWNDON,2039,0.445457
BAU,2,PPWNDON,2040,0.445457
BAU,2,PPWNDON,2041,0.445
BAU,2,PPWNDON,2042,0.445
BAU,2,PPWNDON,2043,0.445
BAU,2,PPWNDON,2044,0.445
BAU,2,PPWNDON,2045,0.445399
BAU,2,PPWNDON,2046,0.450529
BAU,2,PPWNDON,2047,0.455669
BAU,2,PPWNDON,2048,0.46081
BAU,2,PPWNDON,2049,0.46595
BAU,2,PPWNDON,2050,0.47108
BAU,2,PPWNDON,2051,0.47622
BAU,2,PPWNDON,2052,0.481361
BAU,2,PPWNDON,2053,0.486501
BAU,2,PPWNDON,2054,0.491641
BAU,2,PPWNDON,2055,0.466641
BAU,3,PPPVT,2021,0.0573256
BAU,3,PPPVT,2022,0.0573256
BAU,3,PPPVT,2023,0.0573256
BAU,3,PPPVT,2024,0.0594499
BAU,3,PPPVT,2025,0.150085
