PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,NDP,JAM,DIST_LPG,,,1,2039,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2040,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2041,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2042,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2043,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2044,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2045,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2046,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2047,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2048,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2049,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2050,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2051,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2052,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2053,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2054,,,,,,
VariableCost,NDP,JAM,DIST_LPG,,,1,2055,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2021,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2022,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2023,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2024,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2025,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2026,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2027,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2028,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2029,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2030,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2031,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2032,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2033,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2034,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2035,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2036,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2037,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2038,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2039,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2040,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2041,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2042,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2043,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2044,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2045,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2046,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2047,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2048,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2049,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2050,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2051,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2052,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2053,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2054,,,,,,
VariableCost,NDP,JAM,DIST_FOI,,,1,2055,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2021,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2022,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2023,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2024,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2025,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2026,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2027,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2028,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2029,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2030,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2031,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2032,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2033,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2034,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2035,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2036,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2037,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2038,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2039,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2040,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2041,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2042,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2043,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2044,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2045,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2046,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2047,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2048,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2049,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2050,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2051,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2052,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2053,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2054,,,,,,
VariableCost,NDP,JAM,DIST_KER,,,1,2055,,,,,,
