Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2025,FixedOpex2025,Opex2025,Externalities2025,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP,VarOpex2025,AnnualVariableOperatingCost
BAU,16,,DIST_DSL,,2021,,6.05009,6.05009,6.05009,6.05009,,,,,,,114.453,112.9,,112.9,,,,,,,,,,,,,,,139.1183,,,,0.0016830333509793,0.0016830333509793,,,
BAU,16,,DIST_DSL,,2022,,7.38624,7.38624,7.38624,7.38624,,,,,,,142.986,137.245,,137.245,,,,,,,,,,,,,,,165.5242,,,,0.0020243225642042,0.0020243225642042,,,
BAU,16,,DIST_DSL,,2023,,6.8985,6.8985,6.8985,6.8985,,,,,,,135.5,126.554,,126.554,,,,,,,,,,,,,,,149.3888,,,,0.0019479305932922,0.0019479305932922,,,
BAU,16,,DIST_DSL,,2024,,6.69992,6.69992,6.69992,6.69992,,,,,,,132.795,120.684,,120.684,,,,,,,,,,,,,,,139.4348,,,,0.0018444868220135,0.0018444868220135,,,
BAU,16,,DIST_DSL,,2025,,6.94212,6.94212,6.94212,6.94212,,,,,,,138.179,122.192,,122.192,,,,,,,,,,,,,,,138.179,,,,0.0018543663125304,0.0018543663125304,,,
BAU,16,,DIST_DSL,,2026,,7.0667,7.0667,7.0667,7.0667,,,,,,,139.148,119.733,,119.733,,,,,,,,,,,,,,,132.5219,,,,0.0018042225323021,0.0018042225323021,,,
BAU,16,,DIST_DSL,,2027,,7.23821,7.23821,7.23821,7.23821,,,,,,,141.131,118.165,,118.165,,,,,,,,,,,,,,,128.01,,,,0.0017680526870119,0.0017680526870119,,,
BAU,16,,DIST_DSL,,2028,,7.4863,7.4863,7.4863,7.4863,,,,,,,144.525,117.746,,117.746,,,,,,,,,,,,,,,124.8461,,,,0.0017493447740443,0.0017493447740443,,,
BAU,16,,DIST_DSL,,2029,,7.73941,7.73941,7.73941,7.73941,,,,,,,147.92,117.264,,117.264,,,,,,,,,,,,,,,121.6942,,,,0.0017298919675838,0.0017298919675838,,,
BAU,16,,DIST_DSL,,2030,,7.99569,7.99569,7.99569,7.99569,,,,,,,151.278,116.693,,116.693,,,,,,,,,,,,,,,118.5303,,,,0.0017093362712786,0.0017093362712786,,,
BAU,16,,DIST_DSL,,2031,,8.27919,8.27919,8.27919,8.27919,,,,,,,155.045,116.375,,116.375,,,,,,,,,,,,,,,115.697,,,,0.0016926577322782,0.0016926577322782,,,
BAU,16,,DIST_DSL,,2032,,8.56052,8.56052,8.56052,8.56052,,,,,,,158.664,115.882,,115.882,,,,,,,,,,,,,,,112.7595,,,,0.0016735913905694,0.0016735913905694,,,
BAU,16,,DIST_DSL,,2033,,8.84235,8.84235,8.84235,8.84235,,,,,,,162.184,115.26,,115.26,,,,,,,,,,,,,,,109.7725,,,,0.001652869978841,0.001652869978841,,,
BAU,16,,DIST_DSL,,2034,,9.12358,9.12358,9.12358,9.12358,,,,,,,165.584,114.504,,114.504,,,,,,,,,,,,,,,106.7369,,,,0.0016304545757878,0.0016304545757878,,,
BAU,16,,DIST_DSL,,2035,,9.40578,9.40578,9.40578,9.40578,,,,,,,168.893,113.645,,113.645,,,,,,,,,,,,,,,103.6857,,,,0.0016067993020828,0.0016067993020828,,,
BAU,16,,DIST_DSL,,2036,,9.74456,9.74456,9.74456,9.74456,,,,,,,173.099,113.335,,113.335,,,,,,,,,,,,,,,101.2074,,,,0.0015911246113842,0.0015911246113842,,,
